N,K,sigma,accept_rate,threshold,mean_quality_accepted,mean_quality_rejected,posterior_contrast,mutual_information_bits,tail_capture_top1pct,precision_top1pct,quality_dist
800,200,1.5,0.25000000000000006,1.023041953812037,0.36733745270591944,-0.13328636020078297,0.5006238129067024,0.06271694303649067,0.9748747547408234,0.03896003370486547,pareto
1600,200,1.5,0.125,1.8175923135705667,0.6838613246002789,-0.10698636862759121,0.7908476932278702,0.06521321394193469,0.9324160682016746,0.0745264174037477,pareto
3200,200,1.5,0.06250000000000003,2.497731273287897,1.1670316224092034,-0.08647454226632814,1.2535061646755317,0.06214446701453619,0.8664800419523777,0.13851252778838313,pareto
6400,200,1.5,0.031249999999999986,3.1377354514027367,1.9114446162163186,-0.07005218191573404,1.9814967981320526,0.05612769339252435,0.7771123274539818,0.2484530228962407,pareto
12800,200,1.5,0.015624999999999998,3.7993217836439674,3.0380337232028656,-0.0564822185642181,3.0945159417670838,0.04827438353149302,0.6632666286348948,0.42411011394050036,pareto
25600,200,1.5,0.0078125,4.571619982373882,4.634948461589372,-0.04469008310452852,4.6796385446939,0.038758353397993286,0.520828546799135,0.6660629218782478,pareto
51200,200,1.5,0.0039062499999999987,5.61077852510827,6.576037970230024,-0.03395067512000593,6.60998864535003,0.027618747900489078,0.3504133778816648,0.8962540927200803,pareto
102400,200,1.5,0.0019531249999999998,7.053826298154883,8.50550526475013,-0.0247911421438222,8.530296406893953,0.017037801290226404,0.1935224170434797,0.9899465560180388,pareto
200,200,2.0,0.9999999990000001,-13.411450097785558,2.752673092220478e-09,-2.7526734159698143,2.7526734187224875,5.474619546448783e-09,0.9999999999999993,0.01003602576406811,gaussian
400,200,2.0,0.5,2.7755588850518714e-17,0.35682481180834474,-0.3568248118083447,0.7136496236166894,0.09831028063209057,0.906073800983041,0.018186760003439096,gaussian
800,200,2.0,0.25,1.5082049281644614,0.568455992192,-0.18948533073066667,0.7579413229226667,0.08259622381141174,0.7158262771991761,0.02873620381353539,gaussian
1600,200,2.0,0.12500000000000003,2.5722594047529475,0.7364839365223482,-0.10521199093176399,0.8416959274541123,0.05874465144280694,0.5177010553315641,0.04156528899357736,gaussian
3200,200,2.0,0.06250000000000004,3.4303978087139777,0.88000140166009,-0.05866676011067267,0.9386681617707626,0.03872075315801671,0.35214466591663135,0.056546126980549394,gaussian
6400,200,2.0,0.031250000000000014,4.16519505504486,1.007219202193988,-0.032490942006257705,1.0397101442002459,0.024328882394924534,0.2289716873440888,0.07353490403614267,gaussian
12800,200,2.0,0.015625000000000014,4.81621019060694,1.1225886089998574,-0.01781886680952157,1.140407475809379,0.014770585562756525,0.14381390677052608,0.092372484616766,gaussian
25600,200,2.0,0.007812500000000009,5.405826235118997,1.2288473775530702,-0.009675963602780105,1.2385233411558503,0.008736128040196176,0.08787687985148158,0.11288763255980186,gaussian
51200,200,2.0,0.003906250000000002,5.948091583008777,1.3278219570420127,-0.0052071449295765454,1.3330291019715892,0.005061683743422543,0.052506458434619166,0.13490077929033045,gaussian
102400,200,2.0,0.0019531249999999978,6.452475666787672,1.4208026320469531,-0.0027804356791525024,1.4235830677261057,0.002884506356704196,0.030792911233042796,0.15822768649033828,gaussian
200,200,2.0,0.9999999990000001,-12.507569999409196,-0.001489014106896631,-0.7398014029919402,0.7383123888850436,9.874090089545566e-10,0.9999999999999998,0.009992034264527189,lognormal
400,200,2.0,0.5000000000000001,-0.057427361666683246,0.2891929994559266,-0.2921710291463445,0.5813640286022711,0.07452787574841424,0.9894034862710551,0.019772307052753773,lognormal
800,200,2.0,0.25000000000000006,1.4309758944330704,0.6008463565464709,-0.2022674719757688,0.8031138285222397,0.08463426542898289,0.9461154136725326,0.03781447048863858,lognormal
1600,200,2.0,0.12500000000000006,2.5216232105319802,0.9791002667361296,-0.14157319792825732,1.120673464664387,0.07767274377305283,0.8658915827616703,0.06921614684534616,lognormal
3200,200,2.0,0.06249999999999999,3.443133167793339,1.4534878325329865,-0.0984874713370886,1.5519753038700752,0.0647792055883582,0.7554851008922624,0.12078132811050298,lognormal
6400,200,2.0,0.03125,4.280764578004016,2.0540880973362863,-0.0677979539478378,2.121886051284124,0.050822590598469386,0.6265191119981139,0.2003264137025953,lognormal
12800,200,2.0,0.01562499999999999,5.08256618575396,2.808328880682331,-0.04608929890120155,2.8544181795835324,0.037988045851107266,0.49146596236946216,0.3142876627797604,lognormal
25600,200,2.0,0.007812499999999998,5.884148449616431,3.7300772836896243,-0.030871426644695762,3.76094871033432,0.027125091753653796,0.3616760060367621,0.4625765172944374,lognormal
51200,200,2.0,0.003906250000000003,6.716126582919157,4.801672319503668,-0.020324941646577135,4.821997261150245,0.01844273710656936,0.24679646288730098,0.6312956700334142,lognormal
102400,200,2.0,0.0019531249999999991,7.602646883857139,5.95817997005251,-0.013151772154206397,5.971331742206716,0.011875781226507901,0.15439637213707189,0.7898797256548252,lognormal
200,200,2.0,0.9999999980830728,-12.0,-0.008130406417182556,-0.29866040008839034,0.2905299936712078,6.670191766469987e-10,0.9999999999999969,0.009991035666398673,pareto
400,200,2.0,0.5,-0.04681627041148531,0.12994481108823863,-0.1462056250364534,0.27615043612469203,0.03299024896190739,0.979987016226496,0.01958217042591554,pareto
800,200,2.0,0.25,1.3635473871238606,0.30594754262991153,-0.11282305684211376,0.4187705994720253,0.041293612401319235,0.9218270538091025,0.03684002782081227,pareto
1600,200,2.0,0.12500000000000003,2.3828501499959565,0.5586128486773577,-0.08909372921003103,0.6477065778873887,0.04216888015829745,0.8345011138319114,0.06670024300769305,pareto
3200,200,2.0,0.06250000000000001,3.2343184503469544,0.937667072204997,-0.0711835722527144,1.0088506444577114,0.03971516841768552,0.7299399622942483,0.11668569893810694,pareto
6400,200,2.0,0.03125000000000003,4.004070572145407,1.5190668771523619,-0.05739483549431614,1.576461712646678,0.03577239279223707,0.6180294898031683,0.19759214923753882,pareto
12800,200,2.0,0.01562500000000001,4.74780957272988,2.4138659955200983,-0.0465747943152853,2.4604407898353835,0.031183892450598688,0.505066639937888,0.3229528834466885,pareto
25600,200,2.0,0.007812500000000007,5.524004341540278,3.7601247989300477,-0.037801707807998436,3.797926506738046,0.026223557985678894,0.39374346909403035,0.503539844555392,pareto
51200,200,2.0,0.003906250000000002,6.424408325556399,5.6442097835796625,-0.030296446937063418,5.674506230516726,0.020795812670148663,0.2842397241842772,0.7270013994722965,pareto
102400,200,2.0,0.001953125,7.60724055024898,7.8583339314231235,-0.023524662039464028,7.881858593462588,0.014762530666232336,0.1794894627256406,0.9181622376432732,pareto
