N,K,sigma,accept_rate,threshold,mean_quality_accepted,mean_quality_rejected,posterior_contrast,mutual_information_bits,tail_capture_top1pct,precision_top1pct,quality_dist,policy
102400,30720,0.7,0.30000000000000004,0.6401124009435006,0.9494696091232288,-0.4069155467670981,1.3563851558903268,0.366280763994119,0.9967757905948994,0.033345558351353694,gaussian,linear_a30pct
200,60,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
400,120,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
800,240,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
1600,480,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
3200,960,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
6400,1920,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
12800,3840,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
25600,7680,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
51200,15360,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
102400,30720,1.5,0.3,0.9453764666793709,0.6428838524790803,-0.2755216510624631,0.9184055035415435,0.14155917348150115,0.8692381819149205,0.02907898926695392,gaussian,linear_a30pct
